timestamp,phase,setup,kernel,device,dtype,batch,seq_len,context_len,decode_steps,model_dim,num_heads,latency_ms_p50,latency_ms_p90,compute_ms_p50,communication_ms_p50,overlap_pct_p50,communication_bytes,achieved_link_gbps_p50,link_utilization_pct_p50,fabric_peak_gbps
2026-03-05T22:49:01Z,decode,dual_die_tensor_optimized,mlp,trainium,fp32,8,1,2048,4,1024,16,5.150138,5.306972,1.265813,3.884325,0.0,131072.0,0.033847,2.745241,1.232922
2026-03-05T22:49:01Z,decode,dual_die_tensor_optimized,rmsnorm,trainium,fp32,8,1,2048,4,1024,16,67.409685,111.342689,3.613,63.796685,0.0,65664.0,0.003907,0.316893,1.232922
2026-03-05T22:49:01Z,decode,dual_die_tensor_optimized,out_proj,trainium,fp32,8,1,2048,4,1024,16,4.958536,5.144244,0.835331,4.123205,0.0,131072.0,0.031887,2.586274,1.232922
2026-03-05T22:49:02Z,decode,dual_die_request_sharded,qkv_proj,trainium,fp32,8,1,2048,4,1024,16,2.599782,2.619393,2.599782,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:02Z,decode,dual_die_request_sharded,attention,trainium,fp32,8,1,2048,4,1024,16,14.337056,14.360524,14.337056,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:02Z,decode,dual_die_request_sharded,mlp,trainium,fp32,8,1,2048,4,1024,16,3.354498,3.409764,3.354498,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:02Z,decode,dual_die_request_sharded,rmsnorm,trainium,fp32,8,1,2048,4,1024,16,12.52755,19.920158,12.52755,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:02Z,decode,dual_die_request_sharded,out_proj,trainium,fp32,8,1,2048,4,1024,16,2.388293,2.581201,2.388293,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:03Z,decode,single_die,qkv_proj,trainium,fp32,16,1,2048,4,1024,16,2.596542,2.636816,2.596542,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:03Z,decode,single_die,attention,trainium,fp32,16,1,2048,4,1024,16,30.051987,30.17046,30.051987,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:03Z,decode,single_die,mlp,trainium,fp32,16,1,2048,4,1024,16,3.107651,3.174915,3.107651,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:03Z,decode,single_die,rmsnorm,trainium,fp32,16,1,2048,4,1024,16,11.988183,18.406242,11.988183,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:03Z,decode,single_die,out_proj,trainium,fp32,16,1,2048,4,1024,16,2.394313,2.439879,2.394313,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:05Z,decode,dual_die_tensor_optimized,qkv_proj,trainium,fp32,16,1,2048,4,1024,16,7.155924,7.210091,2.875176,4.280748,0.0,393216.0,0.091865,7.450996,1.232922
2026-03-05T22:49:05Z,decode,dual_die_tensor_optimized,attention,trainium,fp32,16,1,2048,4,1024,16,98.240164,98.26153,20.531395,77.708769,0.0,540672.0,0.006958,0.564325,1.232922
2026-03-05T22:49:05Z,decode,dual_die_tensor_optimized,mlp,trainium,fp32,16,1,2048,4,1024,16,4.95441,5.032889,1.271654,3.682756,0.0,262144.0,0.0712,5.774875,1.232922
2026-03-05T22:49:05Z,decode,dual_die_tensor_optimized,rmsnorm,trainium,fp32,16,1,2048,4,1024,16,66.315054,109.779422,3.281212,63.033842,0.0,131328.0,0.008039,0.651994,1.232922
2026-03-05T22:49:05Z,decode,dual_die_tensor_optimized,out_proj,trainium,fp32,16,1,2048,4,1024,16,4.924503,4.966568,0.883427,4.041076,0.0,262144.0,0.06487,5.261501,1.232922
2026-03-05T22:49:05Z,decode,dual_die_request_sharded,qkv_proj,trainium,fp32,16,1,2048,4,1024,16,2.97914,2.987762,2.97914,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:05Z,decode,dual_die_request_sharded,attention,trainium,fp32,16,1,2048,4,1024,16,25.747062,25.792812,25.747062,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:05Z,decode,dual_die_request_sharded,mlp,trainium,fp32,16,1,2048,4,1024,16,3.256082,3.262543,3.256082,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:05Z,decode,dual_die_request_sharded,rmsnorm,trainium,fp32,16,1,2048,4,1024,16,3.703634,3.857956,3.703634,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:05Z,decode,dual_die_request_sharded,out_proj,trainium,fp32,16,1,2048,4,1024,16,2.462803,2.529479,2.462803,0.0,0.0,0.0,0.0,0.0,1.232922
