phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,overlap_frac,single_latency_ms_p50,predicted_dual_latency_ms_p50,predicted_speedup_single_over_dual,dual_wins,scenario_label
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.75,0.218356,2.7639621260168976,0.07900108252013908,False,dual_die_naive|out_proj|B1|S512|D1024
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.9,0.218356,1.5011810504067586,0.14545613931166693,False,dual_die_naive|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.0,0.218356,8.64485750406759,0.025258484584304467,False,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.25,0.218356,6.540222378050692,0.03338663234644948,False,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.5,0.218356,4.435587252033795,0.049228205329492715,False,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.75,0.218356,2.3309521260168973,0.09367674160392306,False,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_optimized,out_proj,1,512,0,0,1024,16,0.9,0.218356,1.0681710504067587,0.2044204436329277,False,dual_die_optimized|out_proj|B1|S512|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.0,0.668344,25.724014648679557,0.02598132558730707,False,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.25,0.668344,19.50683698650967,0.034262038507945,False,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.5,0.668344,13.289659324339778,0.05029052917676676,False,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.75,0.668344,7.072481662169889,0.09449921992373851,False,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,qkv_proj,1,1024,0,0,1024,16,0.9,0.668344,3.342175064867955,0.19997276834042965,False,dual_die_naive|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.0,0.668344,25.411829648679557,0.02630050685999024,False,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.25,0.668344,19.19465198650967,0.03481928197863257,False,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.5,0.668344,12.977474324339779,0.051500313797307525,False,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.75,0.668344,6.760296662169889,0.09886311701970163,False,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_optimized,qkv_proj,1,1024,0,0,1024,16,0.9,0.668344,3.029990064867955,0.2205763008101236,False,dual_die_optimized|qkv_proj|B1|S1024|D1024
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,0.0,1.143543,146.7618631682706,0.007791826672906603,False,dual_die_naive|attention|B1|S1024|D1024
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,0.25,1.143543,110.33083837620293,0.01036467244181341,False,dual_die_naive|attention|B1|S1024|D1024
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,0.5,1.143543,73.89981358413529,0.015474233892323299,False,dual_die_naive|attention|B1|S1024|D1024
kernel,dual_die_naive,attention,1,1024,0,0,1024,16,0.75,1.143543,37.46878879206765,0.030519881663271017,False,dual_die_naive|attention|B1|S1024|D1024
